scholarship_name,funder,level,countries_covered,institutions_covered,tracks_eligible,covers,amount_eur_year,duration_covered,tunisia_eligible,other_eligibility,deadline,deadline_relative_to,application_route,url,verified_date,confidence
RESOUND - Joint Master of Arts in Sound Design for Media Arts - EMJM scholarship,European Commission / EACEA via the ReSound consortium,EU,"Ireland, Portugal, Lithuania","IADT Dun Laoghaire Institute of Art, Design and Technology (IE); Universidade Lusofona (PT); Lithuanian Academy of Music and Theatre (LT)",B,tuition+stipend,16800,24 months,"yes - Erasmus+ Programme Guide 2026, Erasmus Mundus action: 'EMJM scholarships can be offered to students from all over the world'; Tunisia is named under 'South-Mediterranean countries (Region 3)' in Programme Guide Part A Eligible Countries; same action page sets 'Region 3 (Neighbourhood South): 18% of the budget available from NDICI. At least 20% of this amount should be allocated to Tunisia'","Two-year, four-semester programme, max 24 places per year; entry expects a bachelor at EQF level 6 or above in sound, music, film or media studies plus a portfolio of no more than three prior works, two references, a 1,000-character motivation letter and a 500-character thesis description; non-scholarship tuition is EUR 15,000 for four semesters in two instalments of EUR 7,500; directly matches the applicant's music-production and video practice",NOT_FOUND,before university application - the site states applications for ReSound 2026 have closed and the next cycle will be announced; no 2027 date published as at 2026-08-16,apply direct,https://resound-ma.eu/application/,2026-08-16,medium
RE_PLAY - European Joint Masters in Games - EMJM scholarship,European Commission / EACEA via the RE_PLAY consortium,EU,"Portugal, Belgium, Finland","Universidade Lusofona, Lisbon (PT); LUCA School of Arts, Genk (BE); Aalto University, Helsinki (FI)",B,tuition+stipend,16800,24 months,"yes - Erasmus+ Programme Guide 2026, Erasmus Mundus action: 'EMJM scholarships can be offered to students from all over the world'; Tunisia is named under 'South-Mediterranean countries (Region 3)' in Programme Guide Part A Eligible Countries; same action page sets 'Region 3 (Neighbourhood South): 18% of the budget available from NDICI. At least 20% of this amount should be allocated to Tunisia'","Max 24 students per intake; entry requires a bachelor or master at EQF level 6 / NFQ level 8, Europass CV, motivation letter of max 3,000 characters, game/project post-mortems, a PDF portfolio of max 5 projects over 7 pages and a 3-minute showreel; English IELTS 6.0 / TOEFL iBT 80; non-scholarship tuition is EUR 15,000 for the 24-month programme; scholarship holders receive full tuition coverage plus EUR 1,400/month",NOT_FOUND,before university application - the consortium states the 2026-2028 call is closed and a new call opens in October 2026; the deadline itself was not published as at 2026-08-16,apply direct,https://www.replaymasters.eu/admissions-and-requirements,2026-08-16,medium
Re:Anima - European Joint Masters in Animation - EMJM scholarship,European Commission / EACEA via the Re:Anima consortium,EU,"Portugal, Ireland, Belgium","Universidade Lusofona - Film and Media Arts (PT); IADT Dun Laoghaire Institute of Art, Design and Technology (IE); LUCA School of Arts, Campus C-mine, Genk (BE)",B,tuition+stipend,16800,24 months,"yes - Erasmus+ Programme Guide 2026, Erasmus Mundus action: 'EMJM scholarships can be offered to students from all over the world'; Tunisia is named under 'South-Mediterranean countries (Region 3)' in Programme Guide Part A Eligible Countries; same action page sets 'Region 3 (Neighbourhood South): 18% of the budget available from NDICI. At least 20% of this amount should be allocated to Tunisia'","Open to European and non-European students with a BA related to animation and film production, or alternative qualifications backed by relevant professional experience; requires a portfolio/showreel of max 4 minutes with credited roles, 2-3 references, motivation and expectations statements of 1,000 characters each and a 300-word thesis project proposal; English B2 (IELTS 6.0, TOEFL iBT 79)",NOT_FOUND,"before university application - the consortium states it 'will open a call with scholarships in October 2026' for the 2027-2029 intake; on the pattern of its sister programmes at the same schools the scholarship deadline will fall in December 2026 or January 2027, but no date was published as at 2026-08-16",apply direct,https://www.reanima.eu/application/application-requirements,2026-08-16,medium
KTH Scholarship,KTH Royal Institute of Technology,institutional,Sweden,KTH Royal Institute of Technology,B,tuition,16365 (full tuition fee; SEK 180000/year). Does not include living costs.,"First and second year of the master's, subject to satisfactory first-year results",yes,"Must be a fee-paying student (non-EU/EEA), must have applied to a KTH master's programme as FIRST priority at universityadmissions.se and paid the application fee - a scholarship cannot be awarded for a programme listed second, third or fourth. Not available for joint Erasmus+/EIT programmes. In 2025, 65 of 803 admitted scholarship applicants (8%) were nominated. Selection weighs GPA, ranking of the bachelor's-awarding university, research/work/teaching experience and a statement on contributing to sustainable development.",NOT_FOUND (the supporting documents used for the assessment must be submitted to universityadmissions.se by the document deadline of 2 February),"After the universityadmissions.se programme application - the scholarship form on the KTH page is separate, and the underlying documents must already be in by the 2 February document deadline",apply via university (separate scholarship form on the KTH website after the national application),https://www.kth.se/en/studies/master/admissions/scholarships/kth-scholarship-1.72827,2026-08-16,high
CBS Scholarship (Danish government scholarship at Copenhagen Business School),"Danish state, administered by Copenhagen Business School",institutional,Denmark,Copenhagen Business School (CBS),A,tuition+stipend,16000 tuition fee waiver plus a monthly stipend of DKK 8000 towards living costs (CBS non-EU master fee 16000 EUR/year),"Maximum 22 months, starting 1 September (1 February for the Winter round)",yes,"Eligibility clause: 'CBS welcomes applications from motivated graduate applicants, of all genders, ages, nationalities and religions, who come from countries outside of EU/EEA and need a student residence permit to study at CBS.' Must be a non-EU/non-EEA/non-Swiss citizen, need a student residence permit, pay the application fee by the application deadline and upload a personal statement. Not available to anyone eligible for Danish SU or other Danish public support. Approximately 25 scholarships per year. Awarded on motivation and academic background, not financial need. The grant is taxable in Denmark.",15 January 23:59 CET (Summer round) / 15 October (Winter round); results by 15 March (10 December for the Winter round),The scholarship deadline IS the admission deadline - you must apply for admission by 15 January and tick the scholarship option plus upload a personal statement at that time,apply via university (indicate the scholarship in the Application Portal and upload a personal statement with the admission application),https://www.cbs.dk/en/study-programmes/master-programmes/application-and-admission,2026-08-16,high
Aalborg University scholarship for non-EU/EEA master's applicants,"Danish government, awarded by Aalborg University",institutional,Denmark,Aalborg University,both,tuition+stipend,15490 tuition fee waiver plus a monthly stipend of DKK 11225 (stated as EUR 1503 per month) for 2026 new students,The four semesters of the master's programme,yes,"Granted to individually selected applicants from non-EU/EEA countries on strategic considerations and academic qualifications. Approximately 15 scholarships each year for the September intake - Aalborg explicitly advises applicants not to rely on receiving one. If tuition has already been paid when the award is made, the fee is refunded.",The master's programme application deadline (awards notified by early July; AAU cannot guarantee a decision before the tuition payment deadline),Automatic - 'All non-EU applicants are automatically considered when applying to a master's programme'; no separate scholarship application,apply via university (automatic on the admission application),https://www.en.aau.dk/education/apply/master/finance-and-fees,2026-08-16,high
Luiss scholarships for international students admitted to master's degree programmes,Luiss Guido Carli,institutional,Italy,Luiss Guido Carli,A,tuition,15000 (20 full waivers of the annual tuition fee) or 7500 (10 partial waivers of 50%); Luiss non-EU master fee 15000 EUR/year,One academic year (2026/2027),yes,Open to international students holding either EU/Schengen or non-EU/Schengen citizenship who are admitted through the entrance test to the first year of a Luiss master's degree programme. 30 scholarships in total.,2026-03-20 12:00 Italian time (non-EU/Schengen applicants; window opens 2026-02-23). EU/Schengen applicants: 2026-04-20.,After being admitted via the entrance test - a separate call for applications with its own window that closes BEFORE the EU deadline,apply via university (separate online call through the Student Portal dedicated to the Right to Education),https://www.luiss.it/en/orientation-and-admissions/incentives-and-support/scholarship-exemptions/aa-2026-2027/magistrali-2026-2027-academic-year/scholarships-international-students-admitted-masters-degree-programs,2026-08-16,high
Bourse d'excellence Eiffel (France Excellence Eiffel),"Ministere de l'Europe et des Affaires etrangeres (France), managed by Campus France",national,France,"French higher education institutions - the institution, not the student, submits the application",both,partial,14400,Master M2 maximum 12 months; Master M1 maximum 24 months; engineering diplomas maximum 36 months,yes,"Open to non-French nationals; Campus France Tunisie names Eiffel as one of the two programmes financed directly by the French foreign ministry for foreign students ('25% de ces bourses sont financees directement par le ministere dans le cadre des programmes Eiffel (pour des etudes au niveau master ou doctorat) ou Major'). EUR 1,200 per month at master's level from January 2026, plus international and national transport, insurance, help finding housing and cultural activities; tuition fees are NOT covered. Application route is the blocking constraint: 'French institutions submit applications exclusively' - the student must first secure the support of the international relations office of a French institution, which then files the candidacy on the Campus France platform. Deadline for the current cycle was not stated on the Campus France page (updated 30 September 2025).",NOT_FOUND,before university application (the institution must agree to nominate before or alongside admission),apply via university,https://www.campusfrance.org/fr/la-bourse-france-excellence-eiffel,2026-08-16,medium
Bourse d'excellence France Excellence Eiffel,"French Ministry for Europe and Foreign Affairs, administered by Campus France",national,France,"French higher education institutions — the institution, not the student, submits the application",A,living only,"14400 (EUR 1,200/month at master's level from January 2026)",Up to 12 months for entry at M2; up to 24 months for entry at M1; up to 36 months for engineering diplomas,"yes — no country list is published; the scheme is nationality-neutral for non-French candidates (Campus France, 'La bourse France Excellence Eiffel' / programme presentation)","Age cap: 29 at master's level. Tuition fees are NOT covered — the programme funds a monthly allowance plus direct payment of international and domestic transport, insurance, housing search and cultural activities. Eligible fields at master's level: Biology & Health, Ecological Transition, Mathematics & Digital, Engineering Sciences, French History/Language/Civilisation, Law & Political Science, Economics & Management — Track A fits under Economics & Management or Mathematics & Digital; Track B (media production) is not among the listed priority fields. Students cannot apply themselves. UNVERIFIED: depends on expected graduation date (age cap) and GPA (institutions nominate on academic excellence)",2026-01-08 PRIOR_CYCLE,"after university application — the applicant must first be in contact with and put forward by a French institution, which files the dossier with Campus France","apply via university — only French higher education institutions may submit applications, via the Campus France platform",https://www.campusfrance.org/en/eiffel-scholarship-program-of-excellence,2026-08-16,high
EDHEC Academic Excellence Scholarship,EDHEC Business School,institutional,France,EDHEC Business School,A,partial,14350 (up to a 50% reduction in tuition fees; EDHEC master fee 28700 EUR/year PRIOR_CYCLE),NOT_FOUND,yes,"Supports high-potential candidates on the excellence of their academic profile, extensive experience and/or extracurricular activities. No nationality restriction stated - 'All admitted candidates are automatically considered for an EDHEC scholarship.'",NOT_FOUND (tied to the admission decision),Automatic from the admission application - the Scholarship Committee decision is conveyed by email at the same time as the admissions decision; no additional documentation is required,apply via university (automatic on admission),https://www.edhec.edu/en/programmes/masters-degree/scholarships,2026-08-16,high
Malmo University Master's Scholarship,Malmo University,institutional,Sweden,Malmo University,B,tuition,NOT_FOUND (partial to full tuition fee waiver; Malmo non-EU master fee 14319 EUR/year). Does not cover living expenses.,NOT_FOUND,yes,For non-EU/EEA students required to pay tuition fees who are admitted to an English-taught master's programme at Malmo University listed as their FIRST CHOICE. Only a few students are granted scholarships each year.,NOT_FOUND (notifications are sent by the end of April),"Automatic after admission - candidates are considered on the basis of the admission application, no separate scholarship application is required",apply via university (automatic on admission),https://mau.se/en/education/scholarships/,2026-08-16,medium
Lund University Global Scholarship,Lund University,institutional,Sweden,Lund University,A,tuition,NOT_FOUND (grants may cover part or all of the tuition fee; the percentage depends on the programme/faculty budget. Lund non-EU master fee 13638 EUR/year). Covers tuition fees only.,NOT_FOUND,yes,Eligibility clause: 'You must be a citizen of a country from outside the EU/EEA (and Switzerland) and be required to pay tuition fees.' The Lund programme applied for must be the FIRST CHOICE in the universityadmissions.se application. Applicants who cannot secure living-cost funding for the Swedish Migration Agency requirement are told not to apply. Approximately SEK 26 million awarded each year.,2026-02-16 PRIOR_CYCLE (the application usually opens in early February each year),"After the universityadmissions.se programme application - a complete application and paid application fee are prerequisites, then a separate scholarship portal application. Note the scholarship window is only about two weeks long.",apply via university (separate scholarship application portal),https://www.lunduniversity.lu.se/study/admission-degree-studies/scholarships-and-awards/lund-university-global-scholarship,2026-08-16,high
UCD Smurfit MSc Africa Excellence Scholarship,UCD Michael Smurfit Graduate Business School,institutional,Ireland,University College Dublin (UCD Michael Smurfit Graduate Business School),A,partial,13090 (up to 50% of tuition fees; UCD non-EU master fee 26180 EUR/year),The MSc programme,yes,"Merit-based regional scholarship for the Africa region, awarded to academically exceptional students who will act as ambassadors for the MSc and the School. Regional scope named in the scholarship title (Africa), and Tunisia appears in the country filter for UCD Smurfit scholarships on the UCD Global listing.",2026-03-31 PRIOR_CYCLE (opened 2026-01-01; status shown as Closed at the verification date),After the programme application - Smurfit states that in most cases no separate scholarship application is needed and all successful programme applicants are automatically considered once the application is received before the scholarship closing date; awards are granted on a rolling basis so early application matters,apply via university (automatic on the programme application for most Smurfit scholarships),https://www.smurfitschool.ie/admissions/scholarships/,2026-08-16,high
Danish state scholarship at Aarhus University,"Danish state, administered by Aarhus University",institutional,Denmark,Aarhus University,A,tuition+stipend,"13000 (100% tuition fee waiver; Aarhus non-EU master fee 13000 EUR/year for 60 ECTS) plus, at Aarhus BSS, a monthly grant towards living expenses",Typically but not always the duration of the master's programme,yes,"Only awarded to applicants liable to pay tuition fees, i.e. non-EU/EEA. Aarhus University has no scholarship funds of its own and relies entirely on Danish state funding. Aarhus BSS (which hosts the Track A programme) offers tuition fee waiver plus a monthly living grant; the Faculties of Natural Sciences and Technical Sciences offer tuition waiver only.",The master's programme application deadline,"Automatic and simultaneous - 'When you apply to Aarhus University, the university automatically considers you for Danish State Scholarships. You do not need to complete a separate application.' No additional documents should be uploaded.",apply via university (automatic on the admission application),https://masters.au.dk/scholarships-and-grants,2026-08-16,high
BI Master International Scholarship,BI Norwegian Business School,institutional,Norway,BI Norwegian Business School,A,tuition,12404 (full tuition fees; BI non-EU master fee NOK 135600 = 12404 EUR/year). Some candidates receive a one-year rather than two-year award.,"Up to two years, subject to meeting the academic progression requirements",yes,"Eligibility clause: 'Candidates with international citizenship who are not residents of Norway who have a strong academic record.' Minimum overall GPA of 4.0 on the ECTS scale (BI converts international grades). Must be admitted to a Master of Science programme and seeking a first master's degree. International citizens who completed a bachelor's in Norway count as domestic and are excluded. Awarded on academic grades, not financial need.",2026-03-01,"Submitted at the same time as the admission application - scholarship applications by email are not accepted, and the scholarship is only considered once a complete admission application has been submitted and the offer of admission accepted",apply via university (upload CV and a one-page scholarship letter in the 'Scholarship' section of the online admission application),https://www.bi.no/en/programmes-and-individual-courses/scholarships/master-of-science-international-scholarship/,2026-08-16,high
Tilburg University Waiver (DEI waiver),Tilburg University,institutional,Netherlands,Tilburg University,A,partial,11950 (50% waiver of the institutional tuition fee; 2026-2027 non-EEA fee 23900 EUR),The one-year master's programme (or the two-year MSc Cognitive Science and AI),yes,"Tunisia appears by name in the page's 'List of Eligible Countries / Designated Countries'. Requires a non-EEA nationality AND completion of the most recent degree in one of the listed countries; must be the first master's at Tilburg University; regular (non-Research) one-year master's only; pre-master's students excluded; cannot be combined with any other tuition-fee waiver. 21 waivers for 2026-2027, of which 6 for Tilburg School of Economics and Management and 6 for Tilburg School of Humanities and Digital Sciences.",2026-04-01 (both the complete programme application and the waiver form must be in by this date),Both together - the programme application and the separate waiver form share the same 1 April deadline; only students directly admitted to a master's may apply,apply via university (separate Tilburg University Waiver application form),https://www.tilburguniversity.edu/education/masters-programs/tuition-fees-scholarships/dei-waiver,2026-08-16,high
"DAAD Study Scholarships — Fine Art, Design, Visual Communication and Film","DAAD (German Academic Exchange Service), funded by the German Federal Foreign Office",national,Germany,State or state-recognised German universities and art academies of the applicant's choice,B,living only,"11904 (EUR 992/month) plus travel allowance on application, a one-off study allowance and contributions to health, accident and liability insurance",10 to 24 months — the standard period of the chosen master's/postgraduate degree; start usually 1 October of the following year,"yes — 'Tunisia' appears in the country selector on the DAAD scholarship database entry (detail=57135742), which DAAD states is the operative filter","HARD BLOCKER for this applicant: 'You can apply if you have gained a first university degree in the field of arts' — the profile's Licence is in Business Intelligence, not an arts degree. Funds a full master's/postgraduate degree leading to a final qualification, or a complementary course without a degree. Cannot fund a master's already begun in Germany. Portfolio and confirmation of supervision required for the non-degree route. DAAD does not pay tuition fees (most German public universities charge none). Applications open from 1 June; the deadline is set per country of origin. UNVERIFIED: depends on IELTS status (proof of proficiency in the language of instruction required at application)","NOT_FOUND (country-specific deadline, updated annually in Q2; applications possible from 1 June)","before university application — a DAAD Scholarship Award Letter is only valid once the applicant has been admitted to the named host university, but admission need not be held at DAAD application time",apply direct — DAAD portal,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-stipendiendatenbank/?status=&origin=&subjectGrps=&daad=&intention=&q=bildende%20kunst&page=1&detail=57135742,2026-08-16,high
DAAD Study Scholarships — Master Studies for All Academic Disciplines,"DAAD (German Academic Exchange Service), funded by the German Federal Foreign Office",national,Germany,State or state-recognised German universities,both,living only,"11904 (EUR 992/month) plus EUR 460 annual study allowance, insurance contributions and travel allowance on application","10 to 24 months; funding must begin in 2027, usually on 1 October 2027","no — Tunisia is absent from the country selector on the DAAD scholarship database entry (detail=50026200). The list runs Afghanistan, Albania, Andorra, Armenia, Australia, Austria, Azerbaijan, Belarus … Yemen and contains no African country; DAAD states 'If your status and/or country is not included in the list, you cannot apply for this scholarship programme'","Recorded as a negative because the cycle (funding beginning 2027, start 1 October 2027) and the terms would otherwise match this applicant exactly. Other conditions, for reference: most recent degree no more than 6 years old; not resident in Germany for more than 15 months at the deadline; proof of proficiency in the language of instruction; DAAD does not pay tuition fees. The Tunisia-open equivalents are EPOS and the artistic-disciplines scholarships, both recorded separately",NOT_FOUND (country-specific; applications possible from 1 June),"before university application — admission must be held before the funding period begins, not at DAAD application time",apply direct — DAAD portal,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=50026200,2026-08-16,high
J.E. Cairnes School of Business & Economics Postgraduate Merit Scholarship,University of Galway,institutional,Ireland,University of Galway,A,partial,10820 (up to 50% of tuition fees; University of Galway non-EU master fee 21640 EUR/year),The taught master's programme,yes,Open to students enrolled on a taught master's in the J.E. Cairnes School of Business & Economics who obtained an H1 (first-class honours) or international equivalent in their primary degree. No nationality restriction beyond the non-EU deadline track; the scholarship sits inside University of Galway's non-EU Global Scholarships programme.,2026-04-30 (non-EU applicants; EU applicants 2026-07-25),After the offer - the candidate must have RECEIVED AND ACCEPTED the offer and PAID THE DEPOSIT by 30 April to be considered; no separate scholarship application is made,apply via university (automatic once the offer is accepted and the deposit paid),https://www.universityofgalway.ie/business-public-policy-law/cairnes/scholsprizes/businesspostgraduatemeritscholarships/,2026-08-16,high
Invest Your Talent in Italy (IYT) — 11th edition,Italian Ministry of Foreign Affairs and International Cooperation (MAECI) with ICE Agency and Uni-Italia,national,Italy,"Italian state or legally recognised institutions associated with the IYT programme, and only the master's/postgraduate courses on the IYT course list",A,tuition+stipend,"10800 (annual, paid quarterly: EUR 4,800 + EUR 3,000 + EUR 3,000)","9 months from 1 October 2026, renewable for the second year of the master's on achieving 30 credits",yes — 'Tunisia' is named in Art. 2 'Countries eligible for scholarships' of the 11th-edition call for a.y. 2026-2027,"Full exemption from enrolment fees and university contributions (Art. 9), excluding the regional right-to-education tax, stamp duty and insurance. Age cap: born on or after 1 January 2000. Certified English at B2 minimum (Cambridge, IELTS, TOEFL iBT, PTE, Linguaskill, TOEIC accepted); Italian certificate optional but scored. Compulsory internship at an Italian company. Students about to graduate are NOT eligible — the qualification must already be held at the closing date. Not open to those already studying at or holding a degree from an Italian university. 59-second video application required. Does not cover travel or accommodation; health insurance is the student's responsibility. UNVERIFIED: depends on expected graduation date and IELTS status",2026-05-11 PRIOR_CYCLE,after university application — Art. 3.2 requires a pre-admission application to an IYT-listed course to have been submitted before the IYT application; the next edition opens in 2027,apply direct — online via the IYT portal (investyourtalentapplication.esteri.it),https://investyourtalentapplication.esteri.it/SitoIYT/EN/current-call,2026-08-16,high
Italian Government Scholarships for Foreign Students (MAECI),Italian Ministry of Foreign Affairs and International Cooperation (MAECI / Farnesina),national,Italy,Public or legally recognised private Italian universities and AFAM institutions,both,partial,"10800 (total for the 9-month funding period, paid in 3 instalments of EUR 5,500 / 2,300 / 3,000)","9 months (1 Nov 2026 – 31 Jul 2027), potentially renewable for the second year of a Laurea Magistrale","yes — 'TUNISIA' appears in the beneficiary countries annex of the Bando 2026-2027; note separately that Tunisia also appears in the IRE list, which applies only to Italian citizens resident abroad",Age cap: must not exceed 28 by the call deadline (born on or after 27 March 1997) for Laurea Magistrale and AFAM. Language: B2 English for English-taught programmes (a fully English-taught bachelor's can substitute); B2 Italian for Italian-taught. MAECI does NOT pay tuition — Art. 9 states only that 'some universities exempt scholarship recipients'; regional fees are always payable by the student and are never refunded. Collective health insurance provided by MAECI. Selection is by citizenship and run by the Italian diplomatic mission in Tunis. UNVERIFIED: depends on expected graduation date (age cap) and IELTS status,2026-03-26 PRIOR_CYCLE,"before university application — applicants apply for the scholarship without holding an offer, but must produce an enrolment certificate before disbursement",apply direct — online only via the Study in Italy portal (studyinitaly.esteri.it); no email or paper submission,https://studyinitaly.esteri.it/listabandi,2026-08-16,high
Programme de bourses en grandes ecoles francaises 2026,Institut francais de Tunisie / Ambassade de France en Tunisie,bilateral,France,French grandes ecoles d'ingenieurs ou de commerce entered through the national concours,A,living only,10530,36 months,yes,"Reserved to Tunisian nationals only - dual Franco-Tunisian nationals are excluded. Eligibility clause on the Institut francais de Tunisie call page: the candidate must be enrolled in a second-year classe preparatoire in Tunisia or in a French preparatory institution during 2025-2026, pass the entrance examinations for the French grandes ecoles in 2025-2026, and be admitted to a French engineering or business school for 2026-2027. A holder of a three-year licence cannot enter through this route. EUR 877.50 per month covering accommodation and meals, plus student health and mutual insurance; registration and tuition fees are NOT covered. Selection by a 'commission paritaire franco-tunisienne'. Dossiers must reach the Institut francais de Tunisie by 14 August 2026 at 14:00; results from 28 August 2026.",2026-08-14,after university application,apply direct (Institut francais de Tunisie),https://www.institutfrancais-tunisie.com/candidatures/bourses-detudes-en-grandes-ecoles-francaises-2026/,2026-08-16,high
Government of Ireland International Education Scholarships (GOI-IES),"Department of Further and Higher Education, Research, Innovation and Science, administered by the Higher Education Authority (HEA)",national,Ireland,Eligible Irish higher education institutions; 60 scholarships awarded across all of them each year,both,tuition+stipend,10000 (stipend for one year of full-time study) plus a full tuition fee waiver provided by the host institution,One year of full-time study at NFQ level 9 or 10,"unclear — the HEA criterion is a domicile of origin outside the EU/EEA, Switzerland and the United Kingdom, which Tunisia satisfies, but a host-institution page (Trinity College Dublin) refers to a separate 'list of eligible countries' that could not be opened; no such list is published on the HEA page. Confirm with goi-ies@hea.ie before relying on it","Level: NFQ 9–10 (taught master's, postgraduate diploma, PhD). Only one year is funded, so a two-year master's is only partly covered. UNVERIFIED: depends on GPA and IELTS status — selection is by an independent academic panel",2026-03-12 PRIOR_CYCLE,after university application — a conditional or final offer of admission from an eligible Irish HEI must already be held before applying,"apply direct — HEA online portal, after the institution confirms eligibility",https://hea.ie/policy/internationalisation/goi-ies/,2026-08-16,medium
Erasmus+ International Credit Mobility (KA171) student mobility grant,"European Commission - Erasmus+ Key Action 1, funded from EU external policy instruments (NDICI)",EU,Any EU Member State or country associated to the Programme that has an inter-institutional agreement with the student's Tunisian home university,Only pairs of institutions that hold a signed Inter-Institutional Agreement under a funded KA171 project - not an open list,both,living only,9600-10800,"2 to 12 months of physical mobility - a credit-mobility exchange inside an existing degree, NOT funding for a full master's","yes - Programme Guide Part A places Tunisia in 'South-Mediterranean countries (Region 3)'; the KA171 funding rules set individual support for students from third countries not associated to the Programme in Regions 1-12 travelling to EU Member States at EUR 900/850/800 per month by destination country group, and Regions 13-14 (which include the United Kingdom and Switzerland) are excluded, not Region 3","Student must already be enrolled at a Tunisian HEI that holds an Inter-Institutional Agreement with the European host under a funded KA171 project; selection criteria are set by the two institutions in that agreement and must be fair and transparent; individual support is EUR 800-900/month depending on destination country group, plus a travel contribution and EUR 500 organisational support paid to the institution; this is a mobility grant, so it cannot fund a full degree abroad",Set by the home or host institution's own call - there is no central EU deadline,"not comparable to a degree application - ICM calls are published by the enrolling institution during the academic year preceding the exchange, and the student must already hold a place in a degree programme","via university - apply at the institution where you are enrolled, not to the European Commission",https://erasmus-plus.ec.europa.eu/programme-guide/part-b/key-action-1/higher-education-mobility-projects,2026-08-16,high
Bourse universitaire a l'etranger (Mastere et/ou Doctorat) - bourse specifique,"Ministere de l'Enseignement Superieur et de la Recherche Scientifique (MESRS), Direction Generale des Affaires Estudiantines - Direction des Bourses et des Prets",national,European Union member states; Canada,Set annually by the ministerial circulaire; 2026-2027 circulaire n.61/25 carries separate annexes for Canada,both,tuition+stipend,9600,"Bourse de longue duree - full degree cycle, renewed annually",yes,"Reserved to Tunisian nationals. Eligibility clause at https://best.rnu.tn/bourses-universitaires/ : 'Bourses universitaires a l'etranger (Mastere et/ou Doctorat) - Il s'agit de bourses qui sont destinees aux etudiants, parmi les laureats, qui souhaitent poursuivre leurs etudes de Mastere et/ou de Doctorat a l'etranger.' EUR 800/month = EUR 600 bourse + EUR 200 pret repayable over the 10 years following graduation. MESRS also pays frais d'inscription et de scolarite, couverture sociale, assurance maladie obligatoire, permis d'etudes and titre de transport. Candidate must first be nominated by his Tunisian home institution, which submits a nominal list of top-ranked students in the specialisations named in the annual circulaire; university then runs psychological tests and a written+oral language test; ranked files go to DGAE, then an oral panel per specialisation, then the Commission Nationale des Bourses a l'Etranger (manuel de procedures, MESRS, July 2020). Universite de Tunis El Manar states the additional conditions: degree obtained one or two years earlier, degree in a specialite named in the call, no more than one repeated year, arithmetic average of at least 12/20. Signed 'Engagement de retour au territoire de la republique' and a 'caution solidaire' by a guarantor are required. Whether students of private Tunisian institutions (e.g. Esprit) may be nominated is NOT confirmed - the procedure is written around public institutions and the bourse d'alternance variant is expressly limited to 'etablissements universitaires publics'.",NOT_FOUND,before university application,via home ministry,https://best.rnu.tn/bourses-universitaires/,2026-08-16,medium
Programme de bourses IsDB-France,"Islamic Development Bank (IsDB), French Ministere de l'Europe et des Affaires etrangeres and Campus France",bilateral,France,French higher education institutions,both,tuition+stipend,8400 PRIOR_CYCLE,One complete study cycle (Licence 3 or Master),unclear,"Tunisia is named among the 42 eligible countries on the Campus France programme page, at Licence 3 and Master level, with government-scholar status (visa fees waived, tuition exemption, housing assistance, medical cover), EUR 700 per month and an economy return flight; 200 scholarships per year, of which the Campus France Tunisie brochure states 12 were allocated to Tunisia. LIVENESS NOT CONFIRMED: the only Campus France page still carrying the programme describes the 2020/2021 intake with an application window of 20-30 June 2020; the equivalent page on tunisie.campusfrance.org now returns 404; and the IsDB 2026-2027 scholarship programme list (https://www.isdb.org/scholarships/scholarship-programs) contains only four programmes, none of them IsDB-France. Do not rely on this scheme without direct confirmation from Campus France Tunisie or IsDB.",NOT_FOUND,before university application,apply direct (IsDB scholarship portal),https://www.liban.campusfrance.org/le-programme-de-bourses-isdb-france,2026-08-16,low
ESMT Outstanding Student Leadership Scholarship,ESMT Berlin,institutional,Germany,ESMT Berlin,A,partial,8000 (up to; two scholarships available),NOT_FOUND,yes,"No nationality restriction. For candidates displaying outstanding student leadership during their bachelor's study - student clubs, student government, volunteer projects, international conferences, bachelor's internships.",NOT_FOUND,Submitted with the admission application - the scholarship essay is part of the ESMT online application,apply via university (scholarship essay inside the online admission application),https://esmt.berlin/master-programs/scholarships-financing,2026-08-16,high
Maynooth University Vice President International Scholar Award,Maynooth University,institutional,Ireland,Maynooth University,both,partial,7500 (tuition fee discount; two awards for postgraduate taught applicants),One year,yes,Requires non-EU fee-paying status; application to any postgraduate taught programme on campus; English language requirements met prior to application; an undergraduate degree from a university ranked in the top 500 of QS or Times Higher Education; and an undergraduate result equivalent to Irish First-Class Honours. A personal statement must be submitted with the application.,2026-03-31 (applications open 2026-02-01),"After the offer - the applicant must have ACCEPTED the offer and PAID THE DEPOSIT before 31 March 2026, the same day the scholarship application closes",apply via university (separate MS Form scholarship application with personal statement),https://www.maynoothuniversity.ie/international/scholarships,2026-08-16,high
